ID,REGION_PARENT,REGION_CHILD,NX,NY
313,세종특별자치시,세종특별자치시,66,103
314,경기도,수원시장안구,60,121
315,경기도,수원시권선구,60,120
316,경기도,수원시팔달구,61,121
317,경기도,수원시영통구,61,120
318,경기도,성남시수정구,63,124
319,경기도,성남시중원구,63,124
320,경기도,성남시분당구,62,123
321,경기도,의정부시,61,130
322,경기도,안양시만안구,59,123
323,경기도,안양시동안구,59,123
324,경기도,부천시원미구,57,125
325,경기도,부천시소사구,57,125
326,경기도,부천시오정구,57,126
327,경기도,광명시,58,125
328,경기도,평택시,62,114
329,경기도,동두천시,61,134
330,경기도,안산시상록구,58,121
331,경기도,안산시단원구,57,121
332,경기도,고양시덕양구,57,128
333,경기도,고양시일산동구,56,129
334,경기도,고양시일산서구,56,129
335,경기도,과천시,60,124
336,경기도,구리시,62,127
337,경기도,남양주시,64,128
338,경기도,오산시,62,118
339,경기도,시흥시,57,123
340,경기도,군포시,59,122
341,경기도,의왕시,60,122
342,경기도,하남시,64,126
343,경기도,용인시처인구,64,119
344,경기도,용인시기흥구,62,120
345,경기도,용인시수지구,62,121
346,경기도,파주시,56,131
347,경기도,이천시,68,121
348,경기도,안성시,65,115
349,경기도,김포시,55,128
350,경기도,화성시,57,119
351,경기도,광주시,65,123
352,경기도,양주시,61,131
353,경기도,포천시,64,134
354,경기도,여주시,71,121
355,경기도,연천군,61,138
356,경기도,가평군,69,133
357,경기도,양평군,69,125
358,충청북도,청주시상당구,69,106
359,충청북도,청주시서원구,69,107
360,충청북도,청주시흥덕구,67,106
361,충청북도,청주시청원구,69,107
362,충청북도,충주시,76,114
363,충청북도,제천시,81,118
364,충청북도,보은군,73,103
365,충청북도,옥천군,71,99
366,충청북도,영동군,74,97
367,충청북도,증평군,71,110
368,충청북도,진천군,68,111
369,충청북도,괴산군,74,111
370,충청북도,음성군,72,113
371,충청북도,단양군,84,115
372,충청남도,천안시동남구,63,110
373,충청남도,천안시서북구,63,112
374,충청남도,공주시,63,102
375,충청남도,보령시,54,100
376,충청남도,아산시,60,110
377,충청남도,서산시,51,110
378,충청남도,논산시,62,97
379,충청남도,계룡시,65,99
380,충청남도,당진시,54,112
381,충청남도,금산군,69,95
382,충청남도,부여군,59,99
383,충청남도,서천군,55,94
384,충청남도,청양군,57,103
385,충청남도,홍성군,55,106
386,충청남도,예산군,58,107
387,충청남도,태안군,48,109
388,전라남도,목포시,50,67
389,전라남도,여수시,73,66
390,전라남도,순천시,70,70
391,전라남도,나주시,56,71
392,전라남도,광양시,73,70
393,전라남도,담양군,61,78
394,전라남도,곡성군,66,77
395,전라남도,구례군,69,75
396,전라남도,고흥군,66,62
397,전라남도,보성군,62,66
398,전라남도,화순군,61,72
399,전라남도,장흥군,59,64
400,전라남도,강진군,57,63
401,전라남도,해남군,54,61
402,전라남도,영암군,56,66
403,전라남도,무안군,52,71
404,전라남도,함평군,52,72
405,전라남도,영광군,52,77
406,전라남도,장성군,57,77
407,전라남도,완도군,57,56
408,전라남도,진도군,48,59
409,전라남도,신안군,50,66
410,경상북도,포항시남구,102,94
411,경상북도,포항시북구,102,95
412,경상북도,경주시,100,91
413,경상북도,김천시,80,96
414,경상북도,안동시,91,106
415,경상북도,구미시,84,96
416,경상북도,영주시,89,111
417,경상북도,영천시,95,93
418,경상북도,상주시,81,102
419,경상북도,문경시,81,106
420,경상북도,경산시,91,90
421,경상북도,의성군,90,101
422,경상북도,청송군,96,103
423,경상북도,영양군,97,108
424,경상북도,영덕군,102,103
425,경상북도,청도군,91,86
426,경상북도,고령군,83,87
427,경상북도,성주군,83,91
428,경상북도,칠곡군,85,93
429,경상북도,예천군,86,107
430,경상북도,봉화군,90,113
431,경상북도,울진군,102,115
432,경상북도,울릉군,127,127
433,경상남도,창원시의창구,90,77
434,경상남도,창원시성산구,91,76
435,경상남도,창원시마산합포구,89,76
436,경상남도,창원시마산회원구,89,76
437,경상남도,창원시진해구,91,75
438,경상남도,진주시,81,75
439,경상남도,통영시,87,68
440,경상남도,사천시,80,71
441,경상남도,김해시,95,77
442,경상남도,밀양시,92,83
443,경상남도,거제시,90,69
444,경상남도,양산시,97,79
445,경상남도,의령군,83,78
446,경상남도,함안군,86,77
447,경상남도,창녕군,87,83
448,경상남도,고성군,85,71
449,경상남도,남해군,77,68
450,경상남도,하동군,74,73
451,경상남도,산청군,76,80
452,경상남도,함양군,74,82
453,경상남도,거창군,77,86
454,경상남도,합천군,81,84
455,제주특별자치도,제주시,53,38
456,제주특별자치도,서귀포시,52,33
457,강원특별자치도,춘천시,73,134
458,강원특별자치도,원주시,76,122
459,강원특별자치도,강릉시,92,131
460,강원특별자치도,동해시,97,127
461,강원특별자치도,태백시,95,119
462,강원특별자치도,속초시,87,141
463,강원특별자치도,삼척시,98,125
464,강원특별자치도,홍천군,75,130
465,강원특별자치도,횡성군,77,125
466,강원특별자치도,영월군,86,119
467,강원특별자치도,평창군,84,123
468,강원특별자치도,정선군,89,123
469,강원특별자치도,철원군,65,139
470,강원특별자치도,화천군,72,139
471,강원특별자치도,양구군,77,139
472,강원특별자치도,인제군,80,138
473,강원특별자치도,고성군,85,145
474,강원특별자치도,양양군,88,138
475,전북특별자치도,전주시완산구,63,89
476,전북특별자치도,전주시덕진구,63,89
477,전북특별자치도,군산시,56,92
478,전북특별자치도,익산시,60,91
479,전북특별자치도,정읍시,58,83
480,전북특별자치도,남원시,68,80
481,전북특별자치도,김제시,59,88
482,전북특별자치도,완주군,63,89
483,전북특별자치도,진안군,68,88
484,전북특별자치도,무주군,72,93
485,전북특별자치도,장수군,70,85
486,전북특별자치도,임실군,66,84
487,전북특별자치도,순창군,63,79
488,전북특별자치도,고창군,56,80
489,전북특별자치도,부안군,56,87
